seed,workspace,stages,degree,hparams/epoch,hparams/num_parameters,hparams/validate_best
6936.0,3.0,1.0,1.0,999.0,19.0,0.1851763129234314
6936.0,3.0,2.0,1.0,999.0,26.0,0.591709315776825
6936.0,5.0,1.0,1.0,470.0,27.0,0.007519543170928955
6936.0,5.0,2.0,1.0,540.0,38.0,0.009729385375976562
6936.0,4.0,1.0,1.0,550.0,23.0,0.006618082523345947
6936.0,4.0,2.0,1.0,999.0,32.0,0.23854774236679077
6936.0,6.0,1.0,1.0,999.0,31.0,0.5683985948562622
6936.0,6.0,2.0,1.0,350.0,44.0,0.008360147476196289
6936.0,7.0,1.0,1.0,350.0,35.0,0.0068441033363342285
6936.0,7.0,2.0,1.0,510.0,50.0,0.009948968887329102
6936.0,8.0,1.0,1.0,350.0,39.0,0.00955873727798462
6936.0,8.0,2.0,1.0,380.0,56.0,0.007988572120666504
5081.0,3.0,1.0,1.0,999.0,19.0,0.32027631998062134
5081.0,3.0,2.0,1.0,999.0,26.0,0.35344696044921875
5081.0,4.0,1.0,1.0,999.0,23.0,0.017845571041107178
5081.0,4.0,2.0,1.0,820.0,32.0,0.007816791534423828
5081.0,5.0,1.0,1.0,999.0,27.0,0.2541794180870056
5081.0,5.0,2.0,1.0,999.0,38.0,0.3340398073196411
5081.0,6.0,1.0,1.0,999.0,31.0,0.26707780361175537
5081.0,7.0,2.0,1.0,999.0,50.0,0.4134959578514099
3774.0,3.0,2.0,1.0,999.0,26.0,0.37512409687042236
3774.0,4.0,1.0,1.0,999.0,23.0,0.21552103757858276
3774.0,3.0,1.0,1.0,999.0,19.0,0.460371732711792
5081.0,8.0,2.0,1.0,999.0,56.0,0.4105360507965088
5081.0,8.0,1.0,1.0,999.0,39.0,0.30400240421295166
3774.0,5.0,1.0,1.0,610.0,27.0,0.009980618953704834
3774.0,4.0,2.0,1.0,999.0,32.0,0.2131142020225525
6936.0,7.0,1.0,2.0,999.0,35.0,0.2609694004058838
6936.0,6.0,2.0,2.0,130.0,44.0,0.00749814510345459
3774.0,5.0,1.0,2.0,210.0,27.0,0.008857488632202148
5081.0,3.0,1.0,2.0,999.0,19.0,0.012249469757080078
6936.0,3.0,1.0,2.0,999.0,19.0,0.38545292615890503
6936.0,4.0,1.0,3.0,999.0,23.0,0.34331291913986206
6936.0,6.0,2.0,3.0,250.0,44.0,0.0030044913291931152
3774.0,3.0,2.0,2.0,999.0,26.0,0.18104350566864014
6936.0,5.0,2.0,2.0,210.0,38.0,0.008658647537231445
3774.0,5.0,1.0,3.0,999.0,27.0,0.14550769329071045
5081.0,3.0,2.0,2.0,999.0,26.0,0.22741800546646118
6936.0,3.0,2.0,2.0,999.0,26.0,0.204048752784729
6936.0,7.0,2.0,2.0,130.0,50.0,0.008293688297271729
