seed,initial_bias,initial_bias_spread,initial_weights_spread,initial_unitaries_spread,hparams/epoch,hparams/validate_best
6936.0,0.0,0.01,0.01,0.0,999.0,0.0864490270614624
6936.0,0.0,0.01,0.0,0.0,999.0,0.41666603088378906
6936.0,0.0,0.01,0.1,0.0,250.0,0.0007888376712799072
6936.0,0.0,0.01,1.0,0.0,150.0,0.0008215904235839844
6936.0,0.0,0.1,0.01,0.0,999.0,0.41666603088378906
6936.0,0.0,0.1,0.0,0.0,999.0,0.41666603088378906
6936.0,0.0,0.1,0.1,0.0,220.0,0.0009129047393798828
6936.0,0.0,0.1,1.0,0.0,270.0,0.000973135232925415
6936.0,0.0,1.0,0.0,0.0,820.0,0.00067099928855896
6936.0,0.0,1.0,0.01,0.0,270.0,0.0009841620922088623
6936.0,0.0,1.0,10.0,0.0,620.0,0.000988394021987915
6936.0,0.0,0.0,0.01,0.01,310.0,0.0009043514728546143
6936.0,0.0,10.0,0.01,0.0,380.0,0.0009693503379821777
6936.0,0.0,10.0,0.1,0.0,490.0,0.0008989572525024414
6936.0,0.0,0.0,1.0,0.01,310.0,0.0009189248085021973
6936.0,0.0,0.0,0.1,0.01,999.0,0.0047335028648376465
6936.0,0.0,0.0,10.0,0.01,570.0,0.0009558796882629395
6936.0,0.0,10.0,10.0,0.0,920.0,0.0009837746620178223
6936.0,0.785398,0.0,0.0,0.0,999.0,0.14714735746383667
6936.0,0.785398,0.0,0.01,0.0,999.0,0.14803546667099
6936.0,0.785398,0.01,0.0,0.0,999.0,0.1454959511756897
6936.0,0.0,0.01,1.0,0.01,520.0,0.0009190142154693604
6936.0,0.0,1.0,0.01,0.01,999.0,0.4250553846359253
6936.0,0.0,1.0,0.1,0.01,790.0,0.0009829401969909668
6936.0,0.0,0.01,0.1,0.01,999.0,0.00575631856918335
6936.0,0.0,0.0,0.01,0.1,900.0,0.000892341136932373
6936.0,0.0,0.1,1.0,0.01,300.0,0.0009400844573974609
6936.0,0.0,0.1,0.1,0.01,999.0,0.005969196557998657
6936.0,0.0,0.0,1.0,0.1,350.0,0.0009765326976776123
6936.0,0.0,0.01,10.0,0.01,580.0,0.0009460151195526123
6936.0,0.785398,0.0,0.1,0.01,160.0,0.0009641349315643311
6936.0,0.0,10.0,0.01,0.01,300.0,0.0009581148624420166
6936.0,0.0,0.1,10.0,0.01,560.0,0.00096091628074646
6936.0,0.0,1.0,1.0,0.01,999.0,0.0016395747661590576
6936.0,0.785398,0.0,0.1,0.1,180.0,0.0009741485118865967
6936.0,0.0,1.0,10.0,0.01,360.0,0.0009797513484954834
6936.0,0.0,10.0,0.0,0.01,420.0,0.0009596347808837891
6936.0,0.0,10.0,1.0,0.01,999.0,0.0019143223762512207
6936.0,0.0,0.01,1.0,0.1,320.0,0.0009838342666625977
6936.0,0.0,10.0,0.01,0.1,380.0,0.0009637176990509033
6936.0,0.785398,0.0,0.1,1.0,999.0,0.0014311671257019043
6936.0,0.785398,0.0,1.0,0.01,999.0,0.001139521598815918
6936.0,0.0,0.01,0.01,0.01,710.0,0.0008657276630401611
6936.0,0.0,0.0,0.1,0.1,940.0,0.0008531510829925537
6936.0,0.785398,0.0,0.01,0.01,890.0,0.0009308159351348877
6936.0,0.0,0.01,0.0,0.01,999.0,0.08888161182403564
6936.0,0.0,1.0,0.0,0.01,500.0,0.0009736120700836182
6936.0,0.0,0.1,1.0,1.0,730.0,0.0009767711162567139
6936.0,0.0,0.01,10.0,0.1,610.0,0.0009849369525909424
6936.0,0.0,10.0,10.0,0.01,999.0,0.0015827715396881104
6936.0,0.0,0.1,10.0,0.1,390.0,0.0009520649909973145
6936.0,0.0,0.1,0.01,0.01,480.0,0.0006802678108215332
6936.0,0.785398,0.0,0.0,0.01,999.0,0.05177924036979675
6936.0,0.0,0.01,1.0,1.0,530.0,0.0009454190731048584
6936.0,0.0,10.0,0.0,0.1,210.0,0.0009454786777496338
6936.0,0.0,10.0,0.1,0.1,999.0,0.0017015635967254639
6936.0,0.0,0.0,0.01,1.0,420.0,0.0008416473865509033
6936.0,0.785398,0.01,0.0,0.01,999.0,0.14466041326522827
6936.0,0.0,1.0,0.1,0.1,970.0,0.0009684264659881592
6936.0,0.0,0.0,10.0,1.0,999.0,0.0016278326511383057
6936.0,0.0,10.0,0.01,1.0,460.0,0.0009188055992126465
6936.0,0.0,1.0,0.01,0.1,999.0,0.4242144823074341
6936.0,0.0,1.0,10.0,1.0,999.0,0.0023583173751831055
6936.0,0.0,10.0,0.0,1.0,990.0,0.0009894371032714844
6936.0,0.0,0.01,0.1,0.1,999.0,0.004831105470657349
6936.0,0.0,0.1,10.0,1.0,999.0,0.003165900707244873
6936.0,0.0,0.0,0.01,10.0,999.0,0.03058183193206787
6936.0,0.0,0.01,0.01,0.1,999.0,0.0017875730991363525
6936.0,0.0,1.0,0.0,0.1,370.0,0.0009584426879882812
6936.0,0.0,0.01,10.0,1.0,999.0,0.0029684603214263916
6936.0,0.0,0.01,1.0,10.0,320.0,0.0009028017520904541
