optimizer,learning_rate,hparams/validate_best,hparams/cer_best
sgd,5.0,0.35838788747787476,0.3684210479259491
sgd,1.0,0.0004636049270629883,0.0
sgd,2.0,0.0003135204315185547,0.0
sgd,10.0,0.44370734691619873,0.3947368562221527
sgd,0.5,0.06615287065505981,0.02631578966975212
sgd,0.2,0.23344850540161133,0.2368421107530594
sgd,0.1,0.2129662036895752,0.21052631735801697
sgd,0.05,0.27811193466186523,0.2631579041481018
sgd,0.02,0.2988194227218628,0.28947368264198303
sgd,0.002,0.4771192669868469,0.44736841320991516
sgd,0.005,0.46659886837005615,0.4736842215061188
sgd,0.01,0.32821738719940186,0.31578946113586426
sgd,0.0002,0.5559812188148499,0.5526315569877625
sgd,0.001,0.4868994355201721,0.42105263471603394
sgd,0.0005,0.505466639995575,0.4736842215061188
sgd,0.0001,0.5934625864028931,0.5526315569877625
sgd,5e-05,0.6843966841697693,0.6315789222717285
sgd,2e-05,0.7176473736763,0.7631579041481018
sgd,1e-05,0.7285641431808472,0.7105262875556946
rmsprop,5.0,0.33544957637786865,0.34210526943206787
rmsprop,1.0,0.3301984667778015,0.31578946113586426
rmsprop,0.2,0.0007100105285644531,0.0
rmsprop,2.0,0.44154173135757446,0.5263158082962036
rmsprop,10.0,0.4019968509674072,0.4736842215061188
rmsprop,0.5,5.900859832763672e-05,0.0
rmsprop,0.1,9.66191291809082e-05,0.0
rmsprop,0.05,0.00032889842987060547,0.0
rmsprop,0.02,0.047122955322265625,0.02631578966975212
rmsprop,0.01,0.026366710662841797,0.02631578966975212
rmsprop,0.002,0.026998579502105713,0.02631578966975212
rmsprop,0.005,0.0004609227180480957,0.0
rmsprop,0.001,0.03139293193817139,0.02631578966975212
rmsprop,0.0005,0.1360480785369873,0.1315789520740509
rmsprop,0.0002,0.3319500684738159,0.31578946113586426
rmsprop,5e-05,0.5302981734275818,0.4736842215061188
rmsprop,2e-05,0.6561363339424133,0.5789473652839661
rmsprop,0.0001,0.4138845205307007,0.3684210479259491
rmsprop,1e-05,0.7015594840049744,0.6578947305679321
adam,10.0,0.37605810165405273,0.42105263471603394
adam,5.0,0.45173370838165283,0.44736841320991516
adam,2.0,0.30686336755752563,0.18421052396297455
adam,1.0,0.018461167812347412,0.0
adam,0.5,0.0006042122840881348,0.0
adam,0.2,0.00020569562911987305,0.0
adam,0.1,0.0001061558723449707,0.0
adam,0.05,0.00021076202392578125,0.0
adam,0.02,0.0009015798568725586,0.0
adam,0.01,0.02742105722427368,0.02631578966975212
adam,0.005,0.036813318729400635,0.02631578966975212
adam,0.002,0.03327864408493042,0.02631578966975212
adam,0.001,0.13520896434783936,0.1315789520740509
adam,0.0005,0.16276639699935913,0.1315789520740509
adam,0.0002,0.36274850368499756,0.31578946113586426
adam,0.0001,0.4793527126312256,0.44736841320991516
adam,5e-05,0.5518456101417542,0.5263158082962036
adam,2e-05,0.6695111393928528,0.6315789222717285
adam,1e-05,0.7070858478546143,0.7105262875556946
