optimizer,learning_rate,hparams/validate_best,hparams/cer_best
sgd,10.0,0.6293835639953613,0.6052631735801697
sgd,5.0,0.44244247674942017,0.42105263471603394
sgd,2.0,0.28242504596710205,0.28947368264198303
sgd,0.5,0.5810741782188416,0.6052631735801697
sgd,0.2,0.5805003643035889,0.6052631735801697
sgd,0.02,0.7945024371147156,0.7894737124443054
sgd,0.005,0.8141453266143799,0.8157894611358643
sgd,0.01,0.8087209463119507,0.8157894611358643
sgd,2e-05,0.8344482183456421,0.8421052694320679
sgd,0.0002,0.834784209728241,0.8421052694320679
rmsprop,5.0,0.5215714573860168,0.5263158082962036
sgd,1e-05,0.8344292640686035,0.8421052694320679
rmsprop,10.0,0.4746641516685486,0.4736842215061188
rmsprop,2.0,0.5697699189186096,0.5789473652839661
rmsprop,1.0,0.3345615267753601,0.34210526943206787
rmsprop,0.5,0.0017167925834655762,0.0
sgd,0.001,0.8291847109794617,0.8421052694320679
rmsprop,0.2,0.09906738996505737,0.10526315867900848
sgd,0.1,0.6484790444374084,0.6578947305679321
sgd,0.002,0.8345987796783447,0.8421052694320679
sgd,0.05,0.7447186708450317,0.7631579041481018
sgd,1.0,0.001121819019317627,0.0
sgd,0.0001,0.8346111178398132,0.8421052694320679
sgd,5e-05,0.8345140218734741,0.8421052694320679
sgd,0.0005,0.8348957300186157,0.8421052694320679
rmsprop,0.1,0.00021791458129882812,0.0
rmsprop,0.05,0.00023216009140014648,0.0
rmsprop,0.02,0.00015717744827270508,0.0
rmsprop,0.01,0.10646235942840576,0.10526315867900848
rmsprop,0.005,0.4766218066215515,0.5
rmsprop,0.002,0.497312068939209,0.5
rmsprop,0.001,0.6094695329666138,0.6315789222717285
rmsprop,0.0005,0.6087127923965454,0.6315789222717285
rmsprop,0.0002,0.6201549172401428,0.6315789222717285
rmsprop,0.0001,0.6880305409431458,0.6842105388641357
rmsprop,5e-05,0.8308834433555603,0.8421052694320679
rmsprop,2e-05,0.8357657194137573,0.8421052694320679
rmsprop,1e-05,0.8342432975769043,0.8421052694320679
adam,10.0,0.46917325258255005,0.42105263471603394
adam,5.0,0.4213396906852722,0.44736841320991516
adam,2.0,0.5640290975570679,0.5789473652839661
adam,1.0,0.10687839984893799,0.1315789520740509
adam,0.5,0.001000046730041504,0.0
adam,0.2,0.0001290440559387207,0.0
adam,0.1,0.00044721364974975586,0.0
adam,0.05,0.0010342001914978027,0.0
adam,0.02,0.15217489004135132,0.15789473056793213
adam,0.01,0.4774254560470581,0.5
adam,0.005,0.005885064601898193,0.0
adam,0.002,0.4889744520187378,0.5
adam,0.001,0.6073241829872131,0.6315789222717285
adam,0.0005,0.6123048067092896,0.6315789222717285
adam,0.0002,0.6296093463897705,0.6315789222717285
adam,0.0001,0.7000554203987122,0.6842105388641357
adam,5e-05,0.8371926546096802,0.8421052694320679
adam,2e-05,0.834351122379303,0.8421052694320679
adam,1e-05,0.8335968255996704,0.8421052694320679
