optimizer,learning_rate,hparams/validate_best,hparams/cer_best
sgd,10.0,0.5606086254119873,0.5
sgd,2.0,0.00013184547424316406,0.0
sgd,0.5,0.0004837512969970703,0.0
sgd,1.0,0.0004419088363647461,0.0
sgd,0.05,0.00372922420501709,0.0
sgd,5.0,0.5071831941604614,0.5263158082962036
sgd,0.005,0.13508981466293335,0.1315789520740509
sgd,0.1,0.0011677742004394531,0.0
sgd,0.002,0.16330569982528687,0.18421052396297455
sgd,0.001,0.37255293130874634,0.31578946113586426
sgd,0.01,0.0600583553314209,0.05263157933950424
sgd,0.02,0.02902120351791382,0.02631578966975212
sgd,5e-05,0.55452561378479,0.5526315569877625
sgd,0.0005,0.45475929975509644,0.44736841320991516
sgd,0.2,0.0012406110763549805,0.0
sgd,0.0002,0.46443837881088257,0.44736841320991516
sgd,0.0001,0.5274598598480225,0.4736842215061188
sgd,2e-05,0.6136759519577026,0.5526315569877625
rmsprop,10.0,0.6345036029815674,0.7105262875556946
rmsprop,2.0,0.4722258448600769,0.5
rmsprop,1.0,0.5394635796546936,0.5263158082962036
rmsprop,0.5,0.36936575174331665,0.42105263471603394
rmsprop,5.0,0.46163731813430786,0.4736842215061188
rmsprop,0.2,0.00014513731002807617,0.0
rmsprop,0.1,0.00018614530563354492,0.0
rmsprop,0.05,8.755922317504883e-05,0.0
rmsprop,0.02,3.36766242980957e-05,0.0
rmsprop,0.01,1.1801719665527344e-05,0.0
rmsprop,0.002,0.00020235776901245117,0.0
rmsprop,0.005,4.4405460357666016e-05,0.0
rmsprop,0.001,0.0006769895553588867,0.0
rmsprop,0.0005,0.024120092391967773,0.0
rmsprop,0.0002,0.04504185914993286,0.02631578966975212
rmsprop,0.0001,0.14051812887191772,0.1315789520740509
rmsprop,5e-05,0.23763394355773926,0.18421052396297455
rmsprop,2e-05,0.41353893280029297,0.3684210479259491
rmsprop,1e-05,0.48448389768600464,0.4736842215061188
adam,10.0,0.5560092329978943,0.6578947305679321
adam,5.0,0.4796062111854553,0.5263158082962036
adam,2.0,0.6299775242805481,0.6052631735801697
adam,1.0,0.41197288036346436,0.5526315569877625
adam,0.5,0.004891693592071533,0.0
adam,0.2,0.0003662109375,0.0
adam,0.1,5.5909156799316406e-05,0.0
adam,0.05,0.0001627802848815918,0.0
adam,0.02,5.733966827392578e-05,0.0
adam,0.01,0.00010102987289428711,0.0
adam,0.005,0.0001881122589111328,0.0
adam,0.002,0.001383662223815918,0.0
adam,0.001,0.024991869926452637,0.02631578966975212
adam,0.0005,0.032344937324523926,0.02631578966975212
adam,0.0002,0.13488125801086426,0.1315789520740509
adam,0.0001,0.15483897924423218,0.1315789520740509
adam,5e-05,0.32087230682373047,0.31578946113586426
adam,2e-05,0.4598618149757385,0.42105263471603394
adam,1e-05,0.4919767379760742,0.4736842215061188
