,sentence_length,seed,hparams/epoch,hparams/validate_best
0,5,9120,52,0.0
1,5,2783,46,0.0
2,5,2057,33,0.0
3,5,6549,35,0.0
4,5,3201,42,0.0
5,5,7063,39,0.0
6,5,5243,44,0.0
7,5,3102,63,0.0
8,5,5303,39,0.0
9,5,5819,30,0.0
10,5,3693,36,0.0
11,5,4884,72,0.0
12,5,2231,44,0.0
13,5,5514,32,0.0
14,5,8850,35,0.0
15,5,6861,58,0.0
16,5,3106,43,0.0
17,5,2378,30,0.0
18,5,8697,44,0.0
19,5,1821,38,0.0
20,5,9480,40,0.0
21,5,8483,49,0.0
22,5,1633,35,0.0
23,5,9678,34,0.0
24,5,6596,34,0.0
25,5,4509,73,0.0
26,5,8618,42,0.0
27,5,9765,48,0.0
28,5,6346,56,0.0
29,5,2969,40,0.0
30,10,9120,147,0.0
31,10,2783,427,0.0
32,10,2057,183,0.0
33,10,6549,283,0.0
34,10,3201,205,0.0
35,10,7063,215,0.0
36,10,5243,123,0.0
37,10,3102,195,0.0
38,10,5303,72,0.0
39,10,5819,146,0.0
40,10,3693,296,0.0
41,10,4884,164,0.0
42,10,2231,211,0.0
43,10,5514,93,0.0
44,10,8850,196,0.0
45,10,6861,173,0.0
46,10,3106,323,0.0
47,10,2378,86,0.0
48,10,8697,105,0.0
49,10,1821,111,0.0
50,10,9480,214,0.0
51,10,8483,275,0.0
52,10,1633,102,0.0
53,10,9678,300,0.0
54,10,6596,145,0.0
55,10,4509,195,0.0
56,10,8618,188,0.0
57,10,9765,370,0.0
58,10,6346,206,0.0
59,10,2969,191,0.0
60,20,9120,742,0.0
61,20,2783,424,0.0
62,20,2057,338,0.0
63,20,6549,702,0.0
64,20,3201,292,0.0
65,20,7063,187,0.0
66,20,5243,411,0.0
67,20,3102,669,0.0
68,20,5303,366,0.0
69,20,5819,179,0.0
70,20,3693,244,0.0
71,20,4884,600,0.0
72,20,2231,365,0.0
73,20,5514,306,0.0
74,20,8850,317,0.0
75,20,6861,565,0.0
76,20,3106,317,0.0
77,20,2378,427,0.0
78,20,8697,298,0.0
79,20,1821,204,0.0
80,20,9480,407,0.0
81,20,8483,357,0.0
82,20,1633,345,0.0
83,20,9678,633,0.0
84,20,6596,521,0.0
85,20,4509,269,0.0
86,20,8618,578,0.0
87,20,9765,265,0.0
88,20,6346,432,0.0
89,20,2969,296,0.0
90,50,9120,624,0.0
91,50,2783,471,0.0
92,50,2057,191,0.0
93,50,6549,425,0.0
94,50,3201,472,0.0
95,50,7063,319,0.0
96,50,5243,977,0.0
97,50,3102,710,0.0
98,50,5303,274,0.0
99,50,5819,284,0.0
100,50,3693,363,0.0
101,50,4884,390,0.0
102,50,2231,703,0.0
103,50,5514,432,0.0
104,50,8850,510,0.0
105,50,6861,373,0.0
106,50,3106,533,0.0
107,50,2378,261,0.0
108,50,8697,574,0.0
109,50,1821,601,0.0
110,50,9480,303,0.0
111,50,8483,750,0.0
112,50,1633,835,0.0
113,50,9678,2246,0.0
114,50,6596,438,0.0
115,50,4509,553,0.0
116,50,8618,784,0.0
117,50,9765,489,0.0
118,50,6346,774,0.0
119,50,2969,1110,0.0
120,100,9120,559,0.0
121,100,2783,1514,0.0
122,100,2057,1170,0.0
123,100,6549,1444,0.0
124,100,3201,4095,0.0
125,100,7063,1127,0.0
126,100,5243,357,0.0
127,100,3102,985,0.0
128,100,5303,1790,0.0
129,100,5819,210,0.0
130,100,3693,2717,0.0
131,100,4884,746,0.0
132,100,2231,1027,0.0
133,100,5514,899,0.0
134,100,8850,876,0.0
135,100,6861,515,0.0
136,100,3106,15999,0.0
137,100,2378,733,0.0
138,100,8697,672,0.0
139,100,1821,305,0.0
140,100,9480,636,0.0
141,100,8483,691,0.0
142,100,1633,844,0.0
143,100,9678,380,0.0
144,100,6596,804,0.0
145,100,4509,599,0.0
146,100,8618,885,0.0
147,100,9765,1223,0.0
148,100,6346,2909,0.0
149,100,2969,2600,0.0
150,200,9120,1443,0.0
151,200,2783,468,0.0
152,200,2057,2254,0.0
153,200,6549,520,0.0
154,200,3201,1099,0.0
155,200,7063,1265,0.0
156,200,5243,2187,0.0
157,200,3102,492,0.0
158,200,5303,1236,0.0
159,200,5819,902,0.0
160,200,3693,477,0.0
161,200,4884,853,0.0
162,200,2231,792,0.0
163,200,5514,504,0.0
164,200,8850,923,0.0
165,200,6861,2452,0.0
166,200,3106,2227,0.0
167,200,2378,643,0.0
168,200,8697,595,0.0
169,200,1821,15999,0.0
170,200,9480,1167,0.0
171,200,8483,8949,0.0
172,200,1633,1610,0.0
173,200,9678,788,0.0
174,200,6596,627,0.0
175,200,4509,1297,0.0
176,200,8618,15999,0.0
177,200,9765,1569,0.0
178,200,6346,1206,0.0
179,200,2969,1305,0.0
180,500,9120,1543,0.0
181,500,2783,6640,0.0
182,500,2057,929,0.0
183,500,6549,2752,0.0
184,500,3201,1285,0.0
185,1000,9120,2485,0.0
186,1000,2783,664,0.0
187,1000,2057,728,0.0
188,1000,6549,1176,0.0
