,sentence_length,seed,hparams/epoch,hparams/validate_best
0,5,9120,48,0.0
1,5,2783,45,0.0
2,5,2057,43,0.0
3,5,6549,57,0.0
4,5,3201,53,0.0
5,5,7063,65,0.0
6,5,5243,44,0.0
7,5,3102,41,0.0
8,5,5303,53,0.0
9,5,5819,50,0.0
10,5,3693,47,0.0
11,5,4884,47,0.0
12,5,2231,49,0.0
13,5,5514,46,0.0
14,5,8850,58,0.0
15,5,6861,42,0.0
16,5,3106,40,0.0
17,5,2378,68,0.0
18,5,8697,44,0.0
19,5,1821,46,0.0
20,5,9480,47,0.0
21,5,8483,53,0.0
22,5,1633,53,0.0
23,5,9678,49,0.0
24,5,6596,43,0.0
25,5,4509,43,0.0
26,5,8618,46,0.0
27,5,9765,46,0.0
28,5,6346,44,0.0
29,5,2969,49,0.0
30,10,9120,386,0.0
31,10,2783,276,0.0
32,10,2057,285,0.0
33,10,6549,304,0.0
34,10,3201,387,0.0
35,10,7063,432,0.0
36,10,5243,216,0.0
37,10,3102,352,0.0
38,10,5303,298,0.0
39,10,5819,415,0.0
40,10,3693,262,0.0
41,10,4884,317,0.0
42,10,2231,386,0.0
43,10,5514,342,0.0
44,10,8850,436,0.0
45,10,6861,424,0.0
46,10,3106,294,0.0
47,10,2378,285,0.0
48,10,8697,331,0.0
49,10,1821,348,0.0
50,10,9480,299,0.0
51,10,8483,419,0.0
52,10,1633,374,0.0
53,10,9678,401,0.0
54,10,6596,412,0.0
55,10,4509,422,0.0
56,10,8618,385,0.0
57,10,9765,277,0.0
58,10,6346,602,0.0
59,10,2969,302,0.0
60,20,9120,15999,0.0
61,20,2783,15999,0.0
62,20,2057,15999,0.0
63,20,6549,15999,0.0
64,20,3201,15999,0.0
65,20,7063,15999,0.0
66,20,5243,15999,0.0
67,20,3102,15999,0.0
68,20,5303,15999,0.0
69,20,5819,15999,0.0
70,20,3693,15999,0.0
71,20,4884,15999,0.0
72,20,2231,15999,0.0
73,20,5514,15999,0.0
74,20,8850,15999,0.0
75,20,6861,15999,0.0
76,20,3106,15999,0.0
77,20,2378,15999,0.0
78,20,8697,15999,0.0
79,20,1821,15999,0.0
80,20,9480,15999,0.0
81,20,8483,15999,0.0
82,20,1633,15999,0.0
83,20,9678,15999,0.0
84,20,6596,15999,0.0
85,20,4509,15999,0.0
86,20,8618,15999,0.0
87,20,9765,15999,0.0
88,20,6346,15999,0.0
89,20,2969,15999,0.0
90,50,9120,15999,0.0
91,50,2783,15999,0.0
92,50,2057,15999,0.0
93,50,6549,15999,0.0
94,50,3201,15999,0.0
95,50,7063,15999,0.0
96,50,5243,15999,0.0
97,50,3102,15999,0.0
98,50,5303,15999,0.0
99,50,5819,15999,0.0
100,50,3693,15999,0.0
101,50,4884,15999,0.0
102,50,2231,15999,0.0
103,50,5514,15999,0.0
104,50,8850,15999,0.0
105,50,6861,15999,0.0
106,50,3106,15999,0.0
107,50,2378,15999,0.0
108,50,8697,15999,0.0
109,50,1821,15999,0.0
110,50,9480,15999,0.0
111,50,8483,15999,0.0
112,50,1633,15999,0.0
113,50,9678,15999,0.0
114,50,6596,15999,0.0
115,50,4509,15999,0.0
116,50,8618,15999,0.0
117,50,9765,15999,0.0
118,50,6346,15999,0.0
119,50,2969,15999,0.0
120,100,9120,15999,0.0
121,100,2783,15999,0.0
122,100,2057,15999,0.0
123,100,6549,15999,0.0
124,100,3201,15999,0.0
125,100,7063,15999,0.0
126,100,5243,15999,0.0
127,100,3102,15999,0.0
128,100,5303,15999,0.0
129,100,5819,15999,0.0
130,100,3693,15999,0.0
131,100,4884,15999,0.0
