Wall time,Step,Value
1591032868.2450018,5,0.005452287849038839
1591032926.8705325,18,5.675507782143541e-05
1591032955.5663824,24,7.46539672036306e-06
1591033026.361712,40,1.6046843711592373e-06
1591033036.9675624,42,1.6749492033341085e-06
1591033049.931968,45,3.3310416256426834e-06
1591033058.6876245,47,2.0247082375135506e-06
1591033086.347765,53,8.516097409483336e-07
1591033099.7365885,56,6.887652830300794e-07
1591033168.5177395,71,9.6469329946558e-07
1591033181.4339108,74,4.344097135344782e-07
1591033203.343546,79,8.961887942859903e-07
1591033240.070741,87,9.739909501149668e-07
1591033271.9187658,94,3.392503913346445e-07
1591033308.5190272,102,2.577081090748834e-07
1591033321.5598907,105,1.2115451397676225e-07
1591033326.0034392,106,5.8085049658984644e-08
1591033358.3891609,113,1.16400443062048e-07
1591033416.7360632,126,5.273456054055714e-07
1591033475.6165953,139,9.598205252814296e-08
1591033525.121279,150,7.892209197279954e-08
1591033548.6276987,155,7.972826665536559e-08
1591033561.362761,158,2.136875210112521e-08
1591033602.2241929,167,9.889474128499387e-09
1591033606.65779,168,1.3404048537779545e-08
1591033651.8780994,178,1.9770361348037113e-08
1591033675.5331924,183,5.233858679787318e-09
1591033684.3722436,185,9.098766184933993e-09
1591033688.715902,186,1.0286968610273561e-08
1591033706.0674088,190,7.828106163287885e-09
1591033743.3622088,198,9.127989919477386e-09
1591033780.2795181,206,2.5097919298389115e-09
1591033784.49807,207,1.1652593556732427e-08
1591033808.1361368,212,4.895015948136461e-09
1591033857.2532647,223,1.3177207769388133e-08
1591033883.5790246,229,1.1102013530717159e-08
1591033907.022828,234,1.0478204082176035e-08
1591033920.0998812,237,2.24943956794732e-08
1591033973.9829426,249,5.15593221450672e-08
1591034001.5681403,255,7.003741586686374e-08
1591034022.8022006,260,6.014410303123441e-08
1591034055.0107813,267,1.1052708082104346e-08
1591034074.2468076,271,3.1454515436735164e-08
1591034082.9521737,273,5.632960764501149e-09
1591034169.691079,292,1.3747450289258722e-08
1591034191.7520044,297,2.7167945670925064e-09
1591034196.119792,298,2.9484963359749372e-09
1591034219.6353693,303,6.189421863922462e-09
1591034241.7093904,308,6.297395493959357e-09
1591034250.5164795,310,4.644338691406347e-09
1591034287.7790504,318,9.784575816240704e-09
1591034291.9942937,319,4.128117403467968e-09
1591034324.2433336,326,1.1232157426377398e-08
