Wall time,Step,Value
1591032846.3235707,0,0.12257429957389832
1591032891.6529512,10,0.24781373143196106
1591032937.5621026,20,0.037178970873355865
1591032983.4059496,30,0.04314424842596054
1591033028.208263,40,0.010661524720489979
1591033073.2024925,50,0.00656902976334095
1591033118.875122,60,0.005200583953410387
1591033164.050723,70,0.0009099210728891194
1591033209.323081,80,0.001643921248614788
1591033254.7062073,90,0.0005070261540822685
1591033299.7962158,100,0.00022555208124686033
1591033345.3379736,110,0.0004946127883158624
1591033390.7709382,120,0.00035592628410086036
1591033436.1445143,130,0.00040509921382181346
1591033481.7392993,140,0.00046921512694098055
1591033526.970833,150,0.00026378114125691354
1591033571.874979,160,0.00011542019638000056
1591033617.2845302,170,8.4987586888019e-05
1591033662.387633,180,7.320889562834054e-05
1591033707.9002745,190,6.988991663092747e-05
1591033753.9787145,200,2.237126318505034e-05
1591033799.212454,210,2.564887654443737e-05
1591033844.3175173,220,1.1760142115235794e-05
1591033889.7853086,230,2.474674147379119e-05
1591033934.7842221,240,1.402665839123074e-05
1591033980.254949,250,1.877264912764076e-05
1591034024.6663165,260,1.6880729162949137e-05
1591034069.7840571,270,5.292063178785611e-06
1591034115.814437,280,1.142358723882353e-05
1591034161.06811,290,2.9502305551432073e-05
1591034206.5610824,300,1.7191188817378134e-05
1591034252.360104,310,1.540019002277404e-05
1591034298.1246905,320,1.7865650079329498e-05
1591034343.7411184,330,5.892763510928489e-06
1591034389.160885,340,7.558212473668391e-06
1591034434.6593957,350,3.4005749967036536e-06
1591034480.1454346,360,3.1413533179147635e-06
1591034525.6356647,370,5.185367626836523e-06
1591034571.6337993,380,1.7678698895906564e-06
1591034616.8962579,390,1.7157714182758355e-06
1591034661.7564023,400,9.067292694453499e-07
1591034706.9556255,410,3.7688546399294864e-06
1591034753.3669314,420,9.036110100169026e-07
1591034798.3386047,430,1.1158415418321965e-06
1591034843.8450837,440,5.055212000115716e-07
1591034888.8638983,450,8.304384095936257e-07
1591034934.0524457,460,5.106456342218735e-07
1591034979.2287378,470,4.2779101931955665e-06
1591035024.2230904,480,4.77669857446017e-07
1591035069.0779653,490,5.31588852936693e-07
1591035114.1632032,500,5.744906275140238e-07
1591035159.3824356,510,1.4364484286488732e-06
1591035204.5496993,520,1.13003136448242e-06
1591035249.608718,530,6.420367526516202e-07
1591035294.6563668,540,2.2126975807168492e-07
1591035339.9679756,550,4.6032664613449015e-07
1591035384.501617,560,7.323408226511674e-07
1591035430.2846863,570,3.8242899336182745e-07
1591035475.8671522,580,3.10966726146944e-07
1591035521.2155323,590,5.443230861601478e-07
1591035566.4872274,600,6.414495032913692e-07
1591035612.0639024,610,3.5809284781862516e-07
1591035657.3492284,620,3.898184672834759e-07
1591035702.1548088,630,2.3682710548200703e-07
1591035747.256204,640,2.534160898903792e-07
1591035793.0044549,650,4.5389762703962333e-07
1591035838.312709,660,1.4820213323218923e-07
1591035883.5395339,670,5.321620619724854e-07
1591035928.4021854,680,2.5351829435749096e-07
1591035973.8871007,690,1.7775712990442116e-07
1591036018.9870124,700,3.9888936953502707e-07
1591036064.2363138,710,1.2180472594991443e-06
1591036110.104179,720,2.2189946946582495e-07
1591036155.630935,730,1.7826445741775387e-07
1591036200.7148197,740,1.2057232368078985e-07
1591036246.3911486,750,1.0652888704498764e-07
1591036291.8687263,760,2.456640402215271e-07
1591036337.288606,770,1.9431375619660685e-07
1591036382.5525172,780,2.4655597030687204e-07
1591036428.1128643,790,2.840880313215166e-07
1591036473.6791475,800,2.4000422627068474e-07
1591036519.4565597,810,9.703180836595493e-08
1591036564.3819652,820,3.425087413688743e-07
1591036609.4787602,830,2.739077444857685e-07
1591036655.0176468,840,2.2085295370288804e-07
1591036700.068825,850,3.464982682999107e-07
1591036744.8787658,860,1.9279993068721524e-07
1591036790.2839408,870,1.5836064903851366e-06
1591036835.9520335,880,9.170087764687196e-07
1591036880.9181993,890,7.489863378395967e-07
1591036926.9620626,900,5.160259206604678e-07
1591036971.43595,910,3.234760868053854e-07
1591037016.7921982,920,3.318651522477012e-07
1591037061.6119878,930,5.93586889863218e-07
1591037107.230784,940,3.856178523164999e-07
