Wall time,Step,Value
1591072734.5129163,5,0.003926720004528761
1591072793.3448083,18,4.2322397348470986e-05
1591072821.4316192,24,0.00011970155173912644
1591072892.2688317,40,9.021777259476949e-06
1591072902.8536572,42,1.8828381143976003e-05
1591072915.7816765,45,2.0535630028462037e-05
1591072924.5952923,47,1.3925755411037244e-05
1591072952.4027133,53,7.3520564001228195e-06
1591072965.2562041,56,1.3362142453843262e-05
1591073034.240442,71,4.069765509484569e-06
1591073047.1602764,74,3.514958052619477e-06
1591073068.7007093,79,3.927784291590797e-06
1591073105.3456213,87,1.880201921267144e-06
1591073137.6804926,94,1.8275449065185967e-06
1591073174.1462667,102,3.4860058804042637e-06
1591073186.9607046,105,1.2285629509278806e-06
1591073191.2260442,106,7.846560947655234e-07
1591073223.7079911,113,4.173055913270218e-06
1591073282.0034103,126,1.7406761116944836e-06
1591073339.4950318,139,2.5123455316133914e-07
1591073389.3269024,150,2.649212262895162e-07
1591073413.4031882,155,6.212490575308038e-07
1591073426.1215985,158,1.1995834938716143e-06
1591073466.6364753,167,1.4271548707256443e-06
1591073471.048909,168,9.825070037550176e-07
1591073515.9276128,178,7.989343089320755e-07
1591073540.0183854,183,1.3582560995928361e-06
1591073548.6330457,185,1.8547600575402612e-06
1591073552.8660421,186,1.8638354504219024e-06
1591073570.2946484,190,1.704273586256022e-06
1591073606.7698483,198,9.53045798723906e-07
1591073643.5682323,206,1.26526197163912e-06
1591073647.9174368,207,2.3826105461921543e-06
1591073671.6088483,212,1.3048821756456164e-06
1591073721.320022,223,2.396579020569334e-06
1591073746.8943527,229,1.4878427236908465e-06
1591073770.197827,234,2.4790247152850498e-06
1591073783.1703951,237,1.7647382719587767e-06
1591073836.6936305,249,1.106827539842925e-06
1591073864.6139853,255,2.6500574676902033e-06
1591073886.607213,260,1.4336890217236942e-06
1591073918.7080069,267,2.2630670173384715e-06
1591073938.036671,271,1.60586432684795e-06
1591073946.5891938,273,7.775089443384786e-07
1591074032.4882882,292,4.406336302054115e-06
1591074054.7710524,297,4.292603080102708e-06
1591074059.2771976,298,5.565620995184872e-06
