Wall time,Step,Value
1591097543.0543826,5004,1.7153233500266651e-07
1591097600.904147,5017,1.7444196487303998e-07
1591097628.6987119,5023,9.725107474878314e-08
1591097700.0767436,5039,4.418416494900157e-07
1591097710.5816112,5041,2.8437560217753344e-07
1591097723.7325366,5044,1.8077602703669982e-07
1591097732.547807,5046,6.583558729289507e-07
1591097760.284721,5052,1.407403260600404e-07
1591097772.9965496,5055,3.092964107054286e-08
1591097840.1753454,5070,8.528027706233843e-08
1591097854.7812598,5073,1.8238426946481923e-07
1591097876.3474047,5078,6.896549109569605e-08
1591097912.9625895,5086,1.827830260481278e-07
1591097944.9032788,5093,3.8066212937337696e-07
1591097981.3037949,5101,2.255775122250725e-08
1591097994.4208615,5104,7.0071903834900695e-09
1591097998.7551565,5105,2.7952219738835993e-07
1591098030.9984345,5112,1.9442335741359784e-08
1591098089.4531808,5125,1.0511915604638489e-07
1591098147.7518487,5138,9.744457685201269e-08
1591098197.6111968,5149,2.684651292383933e-07
1591098220.7013655,5154,3.1209262374432e-07
1591098233.6522844,5157,5.077041009826644e-07
1591098274.4146097,5166,3.657698499637263e-08
1591098278.8409717,5167,3.574490961000265e-07
1591098324.302495,5177,3.1639257258575526e-07
1591098347.403678,5182,6.744764959876193e-07
1591098356.118083,5184,4.99505176776438e-07
1591098360.34651,5185,3.663643894924462e-07
1591098377.544975,5189,8.597734222348663e-07
1591098413.628737,5197,7.960606041024221e-08
1591098450.0346494,5205,3.633995149243674e-08
1591098454.3343153,5206,1.5724411639439495e-07
1591098477.7065928,5211,4.2073713757417863e-07
1591098527.2592459,5222,6.757765902420942e-08
1591098553.5072737,5228,1.2743522859182121e-07
1591098576.9682531,5233,9.629878405803538e-08
1591098590.0119421,5236,3.274755400184404e-08
1591098643.9036634,5248,6.903149163406397e-09
1591098671.6001487,5254,2.3612773247805308e-07
1591098693.0603876,5259,1.5312738241846091e-06
1591098725.7030685,5266,9.1739870811125e-08
1591098742.850668,5270,7.094321858858166e-07
1591098753.4053223,5272,5.262608837597327e-08
1591098838.288036,5291,5.610991706817003e-07
1591098860.2638783,5296,1.1815473044407554e-08
