Wall time,Step,Value
1591097525.5656815,5000,1.7993022538576042e-07
1591097570.8342466,5010,1.643714711008215e-07
1591097615.6596122,5020,1.1894266549461463e-07
1591097660.7524369,5030,2.5398858838343585e-07
1591097706.1829097,5040,5.659355224452156e-07
1591097751.5125067,5050,6.316682288343145e-07
1591097796.5483682,5060,4.5565039386019635e-07
1591097841.8310452,5070,1.4345664567372296e-07
1591097886.7849946,5080,1.6898476928872697e-07
1591097931.9203234,5090,6.007978754496435e-07
1591097976.9444227,5100,7.144997766772576e-07
1591098022.1627254,5110,1.7122316364748258e-07
1591098067.7925878,5120,2.7399278224038426e-07
1591098113.0121214,5130,4.812152951672033e-07
1591098158.0943944,5140,1.9359555381015525e-07
1591098203.541143,5150,7.052400405882508e-07
1591098248.3613598,5160,4.001993545443838e-07
1591098293.5741782,5170,1.4379168078448856e-07
1591098338.9266877,5180,5.786235988125554e-07
1591098383.4089363,5190,1.5759153484395938e-06
1591098428.5410874,5200,2.176899300820878e-07
1591098473.275802,5210,9.389741535414942e-07
1591098518.6991048,5220,6.147299131953332e-07
1591098563.7687404,5230,3.45970732951173e-07
1591098608.9184513,5240,1.2301700280659134e-06
1591098654.0581672,5250,5.287674866849557e-07
1591098699.1778078,5260,1.5824737147340784e-06
1591098744.4965122,5270,3.3758936979211285e-07
1591098789.310241,5280,6.23830771928624e-07
1591098833.942057,5290,1.3211724763095845e-06
1591098879.2482796,5300,7.71796749177156e-07
1591098924.330851,5310,1.3562327012550668e-06
1591098969.3287122,5320,1.9089370084657276e-07
1591099014.590452,5330,3.1440197290066862e-06
1591099060.0587366,5340,4.441801308985305e-07
1591099105.6860218,5350,4.0970473946799757e-07
1591099150.5823278,5360,8.25311076368962e-07
1591099195.8471298,5370,3.953702218950639e-07
1591099241.1039734,5380,1.3995347103445965e-07
1591099286.6924942,5390,2.409426542726578e-06
1591099331.4229965,5400,8.833366678118182e-07
1591099376.3158484,5410,6.61229933029972e-07
1591099421.14898,5420,2.0745838469338196e-07
1591099466.3016953,5430,4.869116310146637e-07
1591099511.4712644,5440,6.817093662903062e-07
1591099556.8554873,5450,7.141737796700909e-07
1591099601.9473453,5460,2.0504562598944176e-06
1591099647.1581535,5470,3.451851284808072e-07
1591099692.06909,5480,4.2321258320043853e-07
1591099737.5435236,5490,8.127050676876024e-08
1591099783.1585147,5500,6.722158332195249e-07
1591099828.350204,5510,1.3506897857951117e-06
1591099873.661236,5520,1.8829128123343253e-07
1591099918.6451159,5530,1.2038445902362582e-06
1591099964.0299711,5540,7.734537348369486e-07
1591100008.8104377,5550,1.3997345149618923e-07
1591100053.8099275,5560,1.0207099876424763e-06
1591100097.7333548,5570,2.2326606995193288e-05
1591100142.007996,5580,1.751943159433722e-06
1591100186.8579109,5590,6.981498472669045e-07
1591100232.5205252,5600,1.2248901271050272e-07
1591100277.8682067,5610,5.358517682907404e-07
1591100322.7657409,5620,1.0442354323458858e-06
1591100367.9054139,5630,2.2974168700784503e-07
1591100412.642889,5640,3.084898025917937e-07
1591100457.8711054,5650,2.703418715555017e-07
1591100503.6468446,5660,7.349533461820101e-07
1591100548.6639516,5670,4.294478515021183e-07
1591100593.8976378,5680,1.059540295500483e-06
1591100639.0267496,5690,2.3097760504242615e-07
1591100684.0558374,5700,5.616354314952332e-07
1591100729.3590012,5710,1.5560860333607707e-07
1591100774.4580688,5720,2.23307239366477e-07
1591100819.640016,5730,2.586968719242577e-07
1591100864.4054787,5740,3.3226885420845065e-07
1591100909.7392488,5750,3.555077796590922e-07
1591100954.3890903,5760,2.1423065277303976e-07
1591100999.547636,5770,2.554497484652529e-07
1591101044.4718475,5780,1.7799627016756858e-07
1591101089.698436,5790,9.694797853398995e-08
1591101134.9978616,5800,1.7464454060700518e-07
1591101180.4718037,5810,1.5600735991938564e-07
1591101225.065252,5820,3.169280660131335e-07
1591101269.9997585,5830,1.026577365337289e-06
1591101315.0760756,5840,4.20151167190852e-07
1591101359.9494722,5850,4.0105808807311405e-07
1591101405.1606686,5860,1.6151643933426385e-07
1591101450.6941366,5870,2.200106621330633e-07
1591101496.1017306,5880,1.486988594479044e-07
1591101541.5825286,5890,2.173843398622921e-07
1591101587.438911,5900,2.668575973530096e-07
1591101632.6066775,5910,5.681351922248723e-07
1591101677.7042809,5920,1.1067704690503888e-06
1591101722.5523012,5930,9.765922470705846e-08
1591101767.4118564,5940,7.668345460842829e-07
1591101812.6292014,5950,2.504015583326691e-06
1591101857.2250843,5960,1.1619346196312108e-06
1591101902.1128962,5970,9.087876833291375e-07
1591101946.5866961,5980,1.7459838090871926e-06
1591101991.6525133,5990,3.9304683241425664e-07
1591102036.730591,6000,6.575036195499706e-07
1591102081.6700137,6010,6.065810111977044e-07
1591102126.6842055,6020,2.398027163508232e-07
1591102171.9745061,6030,6.375968837346591e-07
1591102217.4568563,6040,7.61744843202905e-07
1591102262.8741834,6050,2.7180129791304353e-07
1591102308.0808957,6060,3.2121596404977026e-07
1591102353.1117618,6070,1.6315337916239514e-06
1591102398.0542045,6080,1.0190193506787182e-06
1591102442.4655762,6090,4.1068793166232354e-07
1591102487.7271202,6100,3.6484988186202827e-07
1591102532.5822487,6110,8.49486411880207e-07
1591102577.8462703,6120,2.233260261164105e-07
1591102623.029716,6130,4.360168190942204e-07
1591102667.4211473,6140,1.9034729348277324e-07
1591102712.534973,6150,4.48561848997997e-07
1591102757.4602618,6160,2.803259064876329e-07
1591102802.7732503,6170,3.573846925064572e-07
1591102847.3819032,6180,4.587317334880936e-07
1591102892.0383377,6190,2.4972842993520317e-07
1591102936.972596,6200,1.268000573872996e-06
1591102981.824997,6210,9.919149306369945e-07
1591103027.3080542,6220,2.2420357481678366e-07
1591103072.5754588,6230,5.665210665029008e-07
1591103117.4483724,6240,4.788459477822471e-07
1591103161.418226,6250,7.412806439788255e-07
1591103206.4707613,6260,6.391348392753571e-07
1591103251.5661016,6270,4.164789970673155e-07
1591103296.383378,6280,1.0096419345018148e-07
1591103341.534487,6290,1.869042080215877e-06
1591103386.5329766,6300,7.359874985013448e-07
1591103430.9442704,6310,3.7011233189332415e-07
1591103475.3607137,6320,1.1521716913875935e-07
1591103520.6298969,6330,6.312756681836618e-07
1591103565.6085002,6340,1.9119309513371263e-07
1591103610.387649,6350,2.676625570074975e-07
1591103655.6098251,6360,1.909219662366013e-07
1591103700.6306646,6370,1.0573106834499413e-07
1591103745.463743,6380,6.871205755487608e-07
1591103790.5938778,6390,2.5763625899344333e-07
1591103835.5636518,6400,2.2471122917977482e-07
1591103880.0572107,6410,4.814647240891645e-07
1591103924.4956045,6420,4.3233868041170354e-07
1591103970.0443993,6430,5.284795179250068e-07
1591104015.4132972,6440,7.990155381776276e-07
1591104060.8404567,6450,8.768427051109029e-07
1591104105.7573295,6460,1.116494630082343e-07
1591104149.7757502,6470,5.318507305673847e-07
1591104194.9148593,6480,1.1526020671226433e-06
1591104239.000878,6490,1.2639144415516057e-06
1591104284.139719,6500,1.4931170255749748e-07
1591104329.4723353,6510,5.546900183617254e-07
1591104374.968654,6520,8.099710839815089e-07
1591104419.863852,6530,5.018530373490648e-07
1591104464.9527392,6540,3.8555683090635284e-07
1591104509.761857,6550,3.608826943946042e-07
1591104554.6249006,6560,2.560295797593426e-07
