Wall time,Step,Value
1591133996.2031705,5004,1.7729312276060227e-06
1591134092.6065352,5010,5.3191206461633556e-06
1591134144.8601394,5013,1.4838629169844353e-07
1591134160.812585,5014,4.106931683622861e-08
1591134210.0170524,5017,2.2795493350713514e-06
1591134309.1975856,5023,1.6557604567424278e-06
1591134496.634817,5035,1.3538485745812068e-06
1591134557.480608,5039,4.873230409430107e-06
1591134590.891859,5041,1.0152145932806889e-06
1591134621.0281937,5043,2.5543486117385328e-06
1591134635.9748285,5044,6.941982064745389e-07
1591134666.848452,5046,7.560243631132835e-08
1591134761.49156,5052,2.0406787371030077e-06
1591134776.48383,5053,3.723477561834443e-07
1591134791.6414323,5054,6.0463667068688665e-06
1591134806.9728146,5055,1.513638920869198e-07
1591134947.2111106,5064,4.239592783505941e-07
1591134992.7292337,5067,3.188984692314989e-06
1591135037.8157282,5070,1.7456595742260106e-06
1591135056.4068396,5071,1.059221744981187e-06
1591135071.5880597,5072,1.084322434508067e-06
1591135086.45709,5073,8.752072488960039e-08
1591135162.0676556,5078,1.560358032293152e-05
1591135282.4120944,5086,4.083763997186907e-06
1591135384.1868148,5093,4.0674484580449644e-07
1591135499.898132,5101,3.394618943275418e-06
1591135541.6244397,5104,1.5810093145773862e-06
1591135555.5997791,5105,3.661505161289824e-06
1591135657.2189386,5112,5.163830252286061e-08
1591135727.397102,5117,3.8902117012185045e-06
1591135842.883268,5125,2.262444667167074e-07
1591135884.771,5128,7.826312867109664e-06
1591135899.1036215,5129,6.3867387325444724e-06
1591136028.6638145,5138,4.519544290815247e-06
1591136056.781945,5140,4.933472297352637e-09
1591136074.141952,5141,1.678700911611486e-08
1591136088.233159,5142,2.862296696548583e-06
1591136187.1525285,5149,3.997539806732675e-06
1591136260.8257804,5154,4.268248630978633e-06
1591136288.65783,5156,1.1500689289789534e-08
1591136302.5873833,5157,3.9805031519790646e-06
1591136361.4879203,5161,1.291818648496701e-06
1591136431.5386217,5166,3.607048029152793e-06
1591136445.740445,5167,3.60732610715786e-06
1591136487.6561892,5170,8.188646205553596e-08
1591136575.2488225,5176,5.4954956141273215e-08
1591136589.2389767,5177,3.171114258293528e-06
1591136617.5544071,5179,1.4311534179967111e-09
1591136662.7902336,5182,5.658474037772976e-06
1591136690.8287232,5184,6.706526392008527e-07
1591136705.0546515,5185,1.2668351700995117e-06
1591136733.0379453,5187,1.8653493327747128e-07
1591136760.8904953,5189,6.651921466982458e-07
1591136774.9432287,5190,1.1717090586671475e-07
1591136877.0107489,5197,7.910015256129554e-07
1591136993.3206959,5205,1.4834300827715197e-06
1591137007.313993,5206,1.150932348537026e-06
1591137021.3869827,5207,1.6724726492611808e-06
1591137081.0144827,5211,3.0933044854464242e-06
1591137225.6384623,5221,2.43153476731095e-06
1591137239.7226205,5222,3.4514512208261294e-06
1591137267.4797218,5224,2.266589490318438e-06
1591137323.746707,5228,3.930409548047464e-06
1591137369.9897356,5231,3.4323684303672053e-06
1591137384.0590005,5232,3.969402769143926e-06
1591137398.0779858,5233,4.212988642393611e-06
1591137440.2863631,5236,1.8315823808734422e-06
1591137613.6281726,5248,2.8880746683057623e-08
1591137700.779802,5254,1.4879759646646562e-08
1591137743.3208334,5257,2.5821500457823277e-06
1591137771.32727,5259,8.095934589391618e-08
1591137785.2928243,5260,2.986743297128669e-08
1591137816.7696302,5262,1.974448871067125e-08
1591137872.4648793,5266,2.6793261440616334e-06
1591137928.8862786,5270,3.231571952255763e-07
1591137960.4565651,5272,7.4205433975294e-07
1591138030.7246823,5277,3.2219395507127047e-06
1591138235.1675496,5291,4.629300178748963e-07
1591138305.2393079,5296,4.7785429160285275e-06
1591138319.3216329,5297,3.668927547550993e-06
1591138379.0513418,5301,1.8791456568578724e-06
1591138393.0350494,5302,2.2697008716932032e-09
1591138449.3786366,5306,3.66527615369705e-07
1591138463.5981426,5307,3.473870719972183e-06
1591138491.5716503,5309,1.5467496723431395e-06
1591138536.8437786,5312,4.346322384662926e-06
1591138606.9524305,5317,4.693670518918225e-08
1591138621.1107578,5318,3.723389951915124e-08
1591138635.0108848,5319,6.464063950772925e-09
1591138708.7351341,5324,7.216606832116668e-07
1591138722.9200292,5325,7.420115935019567e-07
1591138736.9147823,5326,6.938684293800179e-09
1591138778.9365048,5329,1.0220174999631126e-06
1591138909.16882,5338,1.1101228665211238e-06
1591138937.5806077,5340,1.2222284340168699e-06
1591139025.554991,5346,1.5292157513613347e-06
1591139211.7744918,5359,3.0499697913910495e-06
1591139257.3752644,5362,5.84523263569281e-07
1591139314.2512388,5366,3.6184362670610426e-06
1591139370.2357302,5370,7.99494586090077e-08
1591139401.8233235,5372,3.89494425689918e-06
1591139458.2473454,5376,5.703633831899424e-08
1591139472.2480228,5377,2.3419875105901156e-06
1591139486.1297562,5378,4.820913801495408e-08
1591139514.201358,5380,1.841732796492579e-06
1591139587.8853953,5385,4.960005753673613e-06
1591139658.2283938,5390,5.531642273126636e-06
1591139675.6882284,5391,6.948928188421633e-08
1591139903.8845417,5407,2.2490689843834843e-06
1591140005.2651072,5414,9.333093657915015e-06
1591140090.2797484,5420,6.560067333793995e-08
1591140107.9586515,5421,3.9785609828868473e-07
1591140136.3112776,5423,3.3844696645246586e-07
1591140220.9883254,5429,1.564270490916897e-07
1591140351.156426,5438,1.7488024184331152e-07
1591140378.9779806,5440,2.575659436843125e-07
1591140396.4988787,5441,5.078742333353148e-07
1591140438.4579735,5444,1.4722481864737347e-06
1591140523.3330836,5450,2.286035851284396e-06
1591140640.2670813,5458,1.6172807590919547e-06
1591140654.358282,5459,1.5057048585731536e-07
1591140700.4285033,5462,2.804119958454976e-06
1591140714.7126427,5463,1.1553149761311943e-06
1591140845.0861266,5472,1.6911636748773162e-06
1591140859.0431824,5473,3.528760089466232e-06
1591141017.7269495,5484,3.288835870307594e-08
1591141059.9763486,5487,1.1795433607630912e-07
1591141074.2793007,5488,2.697307763810386e-06
1591141102.230895,5490,7.701781896685134e-07
1591141133.3870132,5492,3.7608949696732452e-06
1591141335.077087,5506,1.750005822032108e-06
1591141409.3043602,5511,5.399520887294784e-06
1591141437.4088426,5513,8.333390724146739e-07
1591141479.6221256,5516,1.7669367480266374e-06
1591141508.2468708,5518,2.2224992335395655e-06
1591141582.2067873,5523,2.8171355026529454e-08
1591141596.2455447,5524,1.764601194054194e-07
1591141681.2115781,5530,9.039553994227845e-09
1591141713.2600136,5532,2.816004553096718e-06
1591141727.3809154,5533,8.902115666842292e-08
1591141755.2710004,5535,1.9503750081639737e-06
1591141769.1360621,5536,4.086779767931148e-07
1591141811.417508,5539,2.9216637358331354e-06
1591141842.8582425,5541,1.992169540443456e-09
1591141913.1778326,5546,9.445472670677191e-08
1591141927.3680842,5547,2.0080303784197895e-06
1591142057.8291233,5556,8.594090559199685e-07
1591142086.1774118,5558,6.6099551077059e-07
1591142145.4857006,5562,2.2663002141598554e-07
1591142159.607408,5563,3.7654871221093345e-07
1591142173.7216609,5564,7.268617991940118e-07
1591142229.8906708,5568,1.6533123243789305e-06
1591142288.9650915,5572,2.6731063371698838e-06
1591142302.8652983,5573,5.026926430673484e-08
1591142344.897591,5576,4.376310300813202e-07
1591142373.0364423,5578,4.535740117717069e-06
1591142401.1709166,5580,3.129879587504547e-06
1591142418.5969098,5581,3.69929762200627e-06
1591142432.7539208,5582,9.081071539185359e-07
1591142447.08989,5583,6.957106052141171e-06
1591142474.885078,5585,1.3744489706368768e-06
1591142489.3308537,5586,2.583843524917029e-06
1591142563.1173127,5591,1.405799935128016e-06
1591142577.0776534,5592,1.0287639895523171e-07
1591142675.74487,5599,1.2357398304629896e-07
1591142707.5169127,5601,9.645016234571813e-07
1591142791.712059,5607,2.854911144822836e-06
1591142820.0367928,5609,4.304028422552619e-08
1591142893.509377,5614,2.6818995593203e-06
1591142963.5441053,5619,4.851968782304539e-08
1591142994.898189,5621,1.0154705876175285e-07
1591143167.5028732,5633,9.50163041579799e-07
1591143266.1108987,5640,3.862391622533323e-06
1591143283.713613,5641,6.813544359829393e-07
1591143311.8978505,5643,2.515597543606418e-07
1591143326.2719011,5644,2.4077887701423606e-06
1591143340.602465,5645,5.345905265130568e-07
1591143354.8402696,5646,2.6751916948342114e-07
1591143382.8924396,5648,1.849509203566413e-06
1591143428.9339573,5651,2.0847701307502575e-06
1591143485.3779478,5655,1.2460149889648164e-07
1591143499.7305155,5656,9.850246129872176e-08
1591143555.852038,5660,6.567930768142105e-07
1591143601.3449712,5663,1.2115550589442137e-06
1591143657.9207973,5667,2.2000639532393507e-08
1591143700.2437785,5670,2.621066187202814e-06
1591143717.7624211,5671,1.2133924656154704e-06
1591143745.5236032,5673,9.326737426817999e-07
1591143759.5837898,5674,2.120038971042959e-06
1591143788.0686586,5676,9.876816875475924e-07
1591143802.0738914,5677,2.963467409244913e-07
1591143816.1315167,5678,1.998278236214901e-07
1591143861.702473,5681,4.606367554060853e-08
1591143875.5257576,5682,2.323817227534164e-07
1591143889.6466515,5683,1.9528065422491636e-06
1591143917.5738132,5685,1.7768069255907903e-06
1591143945.730504,5687,3.2180416837945813e-06
1591143959.679037,5688,4.672441264119698e-06
1591144061.7840896,5695,1.5043170833450858e-06
1591144104.401469,5698,7.304248015316261e-07
1591144163.9822707,5702,1.7739905615599127e-06
1591144205.8891048,5705,5.456572125694947e-06
1591144234.1372354,5707,6.928563038854918e-07
1591144262.5367045,5709,3.92821100092533e-08
1591144322.941503,5713,1.9972108020738233e-06
1591144379.819733,5717,2.4246755714329993e-08
1591144422.6097925,5720,3.4558249808469554e-06
1591144439.9226236,5721,2.0772536402091646e-07
1591144454.000405,5722,1.7537491885377676e-06
1591144467.9987538,5723,1.1993058990356076e-07
1591144552.4361196,5729,7.515174047512119e-07
1591144640.9414084,5735,5.087134269388116e-08
1591144669.8862708,5737,1.734859779389808e-06
1591144684.1009939,5738,2.8113586267863866e-06
1591144743.9984634,5742,2.169191702705575e-06
1591144785.9629436,5745,1.1087788607255789e-06
1591144799.913992,5746,1.7107323628806625e-06
1591144841.9263594,5749,1.001395730781951e-06
1591144855.7474597,5750,1.3711346582567785e-06
1591144873.0953603,5751,1.5030850590846967e-06
1591144901.033209,5753,1.4985428151703672e-06
1591144928.9818497,5755,1.2601465186889982e-06
1591145016.938733,5761,1.916896223974618e-07
1591145059.6706898,5764,1.8749340142676374e-06
1591145073.8692155,5765,1.2191719633847242e-06
1591145116.180333,5768,2.922004114225274e-07
1591145130.5590055,5769,3.739499163657456e-07
1591145144.6040528,5770,1.091792569241079e-06
1591145175.948012,5772,1.1375709618732799e-06
1591145190.1589334,5773,3.2028992791310884e-08
1591145274.673206,5779,1.7780549796952982e-06
1591145334.3161094,5783,8.551657515454281e-07
1591145348.497738,5784,7.281310558937548e-07
1591145376.920124,5786,2.911509966452286e-07
1591145405.3727212,5788,5.831219596075243e-08
1591145433.2920132,5790,1.257591748071718e-06
1591145451.0160315,5791,9.735312005432206e-07
1591145465.4371772,5792,1.4381017265918672e-08
1591145479.451234,5793,8.0894587028979e-08
1591145493.5138938,5794,6.644596055593865e-07
1591145536.1844168,5797,1.352165099888225e-06
1591145564.0942435,5799,5.000404712518502e-07
1591145596.038143,5801,2.841610921677784e-06
1591145638.4440048,5804,1.445329985472199e-06
1591145667.0267947,5806,1.3893467212255928e-06
1591145681.3684545,5807,7.533269297255174e-08
1591145695.5538473,5808,6.971242783038178e-07
1591145783.1262412,5814,2.4938278784247814e-06
1591145797.270223,5815,2.0855261482211063e-06
1591145825.5342898,5817,1.206520437335712e-06
1591145868.2164109,5820,4.7449458406845224e-07
1591145928.2114224,5824,9.007703738461714e-07
1591145970.3003564,5827,8.290943043220977e-08
1591146012.6735165,5830,2.041314473899547e-06
1591146029.9567354,5831,1.1233303354174495e-07
1591146058.2824614,5833,2.1364348867791705e-07
1591146086.6892354,5835,3.065171995331184e-06
1591146114.7327197,5837,2.5950630515580997e-06
1591146188.4200294,5842,1.4468373876752594e-07
1591146230.6517465,5845,1.9794774743786547e-06
1591146259.5636582,5847,8.588151523269971e-09
1591146478.1026068,5862,1.3244263641354337e-07
1591146534.776132,5866,9.115079535604309e-08
1591146563.3395386,5868,5.477426157085574e-07
1591146577.5708568,5869,2.502701363482629e-06
1591146637.7243185,5873,1.7043505522451596e-06
1591146666.0227118,5875,5.089064814001176e-08
1591146723.0460029,5879,2.0703431857782562e-07
1591146754.3134754,5881,1.8628488973604362e-08
1591146782.852345,5883,2.2832429635855078e-07
1591146825.0699124,5886,2.5150150122499326e-06
1591146853.9683297,5888,7.3943618872363e-07
1591146867.950765,5889,4.5227034206618555e-06
1591146899.5503592,5891,1.2298150977585465e-06
1591146955.8763764,5895,2.631961478982703e-06
1591147012.4802535,5899,1.596584638718923e-06
1591147115.4013038,5906,2.6049622192658717e-07
1591147129.616784,5907,1.6686881565419753e-07
1591147143.7368724,5908,1.1920947429189255e-07
1591147158.021752,5909,7.376573307737999e-07
1591147189.65112,5911,2.193438604081166e-06
1591147231.966409,5914,2.110732339133392e-06
1591147245.9374278,5915,5.890552756682155e-07
1591147260.321511,5916,1.7974571164813824e-06
1591147302.4758286,5919,2.7428470161794394e-07
1591147316.6393676,5920,1.9384545169032208e-07
1591147334.0931032,5921,4.294848167774035e-06
1591147348.4919019,5922,2.1583356613064097e-07
1591147461.545,5930,1.0964292869175551e-06
1591147479.1634212,5931,6.948676656293173e-08
1591147521.6663315,5934,2.0599593426595675e-06
1591147623.9158685,5941,1.826644258073884e-08
1591147666.2134008,5944,5.203322416491574e-06
1591147782.797803,5952,6.357975507853553e-06
1591147797.1368315,5953,2.423619083202766e-09
1591147825.6416821,5955,2.7258725054934985e-08
1591147839.558745,5956,4.5533276704645687e-08
1591147853.6772177,5957,2.6835236255351447e-08
1591147895.8410428,5960,4.147668519749459e-08
1591147913.433578,5961,2.4384341941185994e-06
1591147941.926003,5963,4.825758878723718e-06
1591147970.365028,5965,3.697453010431673e-08
1591148040.7056441,5970,1.7093491351261036e-06
1591148058.0149107,5971,1.7447156608341174e-07
1591148115.0141513,5975,3.613084231801622e-08
1591148129.273321,5976,2.794022293528542e-07
1591148143.4991372,5977,3.0052692068238684e-07
1591148157.4896395,5978,4.2710599501560864e-08
1591148202.8971536,5981,1.180473496731338e-08
1591148217.2225742,5982,5.638133959706693e-09
1591148231.4474843,5983,2.7891994704987155e-06
1591148274.4700096,5986,7.944463931153223e-08
1591148288.4432814,5987,2.9548091333708726e-06
1591148405.370105,5995,2.200181825173786e-06
1591148461.6032858,5999,3.848245341941947e-06
1591148492.8943665,6001,1.7180560973883985e-08
1591148521.0979037,6003,1.818270447984105e-06
