Wall time,Step,Value
1591133932.08901,5000,7.4541758294799365e-06
1591134096.2542841,5010,5.551692993321922e-06
1591134262.6109385,5020,4.181319127383176e-06
1591134420.0122092,5030,5.067145593784517e-06
1591134575.8508022,5040,1.2978182894585188e-05
1591134730.4099898,5050,5.510380105988588e-06
1591134886.2881675,5060,5.669232450600248e-06
1591135041.274821,5070,4.747915227198973e-06
1591135195.3871193,5080,1.0457271855557337e-05
1591135341.9268026,5090,5.692150807590224e-06
1591135486.0775762,5100,5.8640844144974835e-06
1591135629.2966092,5110,3.919428309018258e-06
1591135772.503204,5120,4.289965545467567e-06
1591135916.4978993,5130,3.3448293379478855e-06
1591136060.0995133,5140,3.6923534025845584e-06
1591136204.3844194,5150,4.882197117694886e-06
1591136347.4887486,5160,2.5532906420266954e-06
1591136490.983669,5170,1.3184447880121297e-06
1591136634.8660982,5180,5.112785402161535e-06
1591136778.262989,5190,5.393015726440353e-06
1591136922.9788337,5200,1.2378221754261176e-06
1591137066.8579504,5210,4.371651357359951e-06
1591137211.3337674,5220,2.8749011562467786e-06
1591137355.8048444,5230,3.4323684303672053e-06
1591137500.6597648,5240,3.1723204756417545e-06
1591137644.8696835,5250,1.1603823395489599e-06
1591137788.63985,5260,1.8245229966851184e-06
1591137932.2297788,5270,3.821167410933413e-06
1591138075.9066343,5280,3.858855961880181e-06
1591138221.0636265,5290,4.864088168687886e-06
1591138365.0502899,5300,2.2845931653137086e-06
1591138508.840513,5310,4.509514837991446e-06
1591138652.1896968,5320,4.400025773065863e-06
1591138796.3247843,5330,1.0759757742562215e-06
1591138940.9059138,5340,1.3136794905221905e-06
1591139085.1294625,5350,3.841320449282648e-06
1591139229.3961477,5360,3.856161129078828e-06
1591139373.5552871,5370,2.528567847548402e-06
1591139517.50675,5380,4.793161224370124e-06
1591139661.5343757,5390,4.286282091925386e-06
1591139806.123452,5400,9.031676199811045e-06
1591139949.2620685,5410,3.1905142350296956e-06
1591140093.6106935,5420,4.683852239395492e-06
1591140238.432957,5430,2.5038677904376527e-06
1591140382.3008406,5440,1.6407982457167236e-06
1591140526.6639514,5450,2.262967200294952e-06
1591140672.0691326,5460,2.1907585505687166e-06
