Wall time,Step,Value
1590789172.4004169,3,0.5882889628410339
1590789217.0344756,5,0.5066842436790466
1590789239.2348244,6,0.47436684370040894
1590789283.5868433,8,0.4495696425437927
1590789327.9019637,10,0.4263102412223816
1590789360.7326057,11,0.423747718334198
1590789382.8014271,12,0.4097580313682556
1590789404.8141255,13,0.4262198805809021
1590789426.8515813,14,0.43345004320144653
1590789448.9986799,15,0.45532387495040894
1590789471.1092134,16,0.43794184923171997
1590789493.28245,17,0.436035692691803
1590789515.3284938,18,0.3973401188850403
1590789537.6639042,19,0.4127606749534607
1590789559.7588403,20,0.4043201804161072
1590789614.9663005,22,0.39897602796554565
1590789659.4694417,24,0.4352927803993225
1590789681.608414,25,0.40163081884384155
1590789792.5757763,30,0.38460665941238403
1590789825.6364613,31,0.39916080236434937
1590789847.837356,32,0.40065354108810425
1590789870.0551276,33,0.4080948233604431
1590789892.2155266,34,0.38887661695480347
1590789936.611514,36,0.4355798363685608
1590790002.852439,39,0.377821147441864
1590790025.0194926,40,0.34799903631210327
1590790079.8899963,42,0.3669734597206116
1590790101.9693668,43,0.35542160272598267
1590790124.176987,44,0.35306161642074585
1590790146.4802275,45,0.35024839639663696
1590790191.026669,47,0.30463629961013794
1590790235.296981,49,0.31896406412124634
1590790257.4442902,50,0.3112580180168152
1590790334.6789894,53,0.2523520588874817
1590790356.9127448,54,0.27698010206222534
1590790379.0825691,55,0.22455298900604248
1590790401.1544015,56,0.21234434843063354
1590790423.2456758,57,0.26916176080703735
1590790489.7107937,60,0.342662513256073
1590790523.0381074,61,0.34382396936416626
1590790567.4738119,63,0.23030591011047363
1590790589.6656055,64,0.20097100734710693
1590790612.0320287,65,0.2976148724555969
1590790634.3111627,66,0.3038397431373596
1590790656.3432794,67,0.285378634929657
1590790678.3409927,68,0.32173067331314087
1590790700.4239023,69,0.23241370916366577
1590790755.7851713,71,0.28590863943099976
1590790778.1082437,72,0.29648035764694214
1590790800.331143,73,0.251523494720459
1590790822.4887433,74,0.25147682428359985
1590790866.5521395,76,0.191070556640625
1590790910.7800791,78,0.27197200059890747
1590790933.0862026,79,0.29913073778152466
1590790988.2884493,81,0.3660714030265808
1590791010.3244848,82,0.3398180603981018
1590791054.6174839,84,0.2779785990715027
1590791076.6531599,85,0.35657674074172974
1590791098.7325456,86,0.2969058156013489
1590791120.8288248,87,0.36157578229904175
1590791142.828129,88,0.46687084436416626
1590791164.9982932,89,0.4002482295036316
1590791220.455654,91,0.39466220140457153
1590791242.736505,92,0.3247235417366028
1590791265.0549874,93,0.2942860722541809
1590791287.262482,94,0.284080445766449
1590791397.9094827,99,0.3049599528312683
1590791420.1638834,100,0.3595084547996521
1590791475.194989,102,0.30511385202407837
1590791519.5975163,104,0.3269224762916565
1590791541.8174536,105,0.38058751821517944
1590791563.998819,106,0.362235963344574
1590791630.5446916,109,0.3653075098991394
1590791652.8534844,110,0.3049479126930237
1590791730.2322252,113,0.3510058522224426
1590791796.708607,116,0.35489410161972046
1590791841.0457342,118,0.2695534825325012
1590791863.2042997,119,0.29616159200668335
1590791885.460351,120,0.2558594346046448
1590791984.8601074,124,0.1837679147720337
1590792006.9959083,125,0.19308823347091675
1590792029.0124881,126,0.15199369192123413
1590792051.2851562,127,0.15301603078842163
1590792095.7115257,129,0.25323790311813354
1590792117.9027278,130,0.26722055673599243
1590792195.1047783,133,0.17806488275527954
1590792261.5690796,136,0.14506644010543823
1590792283.7231257,137,0.13845986127853394
1590792327.9175482,139,0.15128028392791748
1590792383.1253512,141,0.23086470365524292
1590792405.2687855,142,0.20684891939163208
1590792427.5020552,143,0.21809083223342896
1590792449.6893642,144,0.14982831478118896
1590792471.9239619,145,0.13450628519058228
1590792494.2148423,146,0.19006764888763428
1590792538.6111019,148,0.138616144657135
1590792560.7688084,149,0.21482723951339722
1590792583.016949,150,0.32332926988601685
1590792615.960937,151,0.3470558524131775
1590792660.3971934,153,0.38002902269363403
1590792682.689011,154,0.4937043786048889
1590792704.755275,155,0.4744681715965271
1590792749.0733724,157,0.45331472158432007
1590792771.3938727,158,0.4314895272254944
1590792793.6232753,159,0.43090325593948364
1590792848.5901318,161,0.401588499546051
1590792870.6371243,162,0.4157945513725281
1590792915.302918,164,0.3573853373527527
1590792937.3760462,165,0.28230851888656616
1590792981.880804,167,0.3054465651512146
1590793004.0611246,168,0.3441111445426941
1590793026.2695744,169,0.1864425539970398
1590793081.263684,171,0.2407362461090088
1590793103.673091,172,0.27951449155807495
1590793170.2340047,175,0.15358412265777588
1590793192.359294,176,0.16817253828048706
1590793214.5609906,177,0.4167901873588562
1590793236.7869625,178,0.20188122987747192
1590793281.3232996,180,0.2282887101173401
1590793314.423173,181,0.21795928478240967
1590793358.588056,183,0.1660211682319641
1590793402.779941,185,0.16134214401245117
1590793425.0726168,186,0.19857829809188843
1590793447.1940024,187,0.1264243721961975
1590793469.3770604,188,0.194535493850708
1590793513.740232,190,0.2878205180168152
1590793546.8270397,191,0.2468394637107849
1590793702.240445,198,0.25932151079177856
1590793801.8868437,202,0.1714751124382019
1590793868.1369858,205,0.19092833995819092
1590793890.2747977,206,0.24811196327209473
1590793912.3998518,207,0.16612297296524048
1590793934.5656738,208,0.20289230346679688
1590794034.0079427,212,0.09875482320785522
1590794056.0474803,213,0.22091716527938843
1590794078.0792131,214,0.16163021326065063
1590794100.1890132,215,0.16991817951202393
1590794166.3633137,218,0.1545778512954712
1590794188.4482677,219,0.1347394585609436
1590794210.5719688,220,0.09199202060699463
1590794243.5406187,221,0.12291258573532104
1590794265.6546235,222,0.12098270654678345
1590794288.0036786,223,0.08472985029220581
1590794332.211637,225,0.13775092363357544
1590794354.4095957,226,0.1850762963294983
1590794376.6654975,227,0.2176746129989624
1590794420.993711,229,0.17341208457946777
1590794443.0717757,230,0.15017342567443848
1590794475.7392435,231,0.1664401888847351
1590794497.927133,232,0.17723041772842407
1590794520.085991,233,0.1285880208015442
1590794542.090191,234,0.18716704845428467
1590794608.7312217,237,0.0951838493347168
1590794630.8992996,238,0.2172345519065857
1590794675.251606,240,0.18790006637573242
1590794774.8681035,244,0.16797703504562378
1590794797.1018665,245,0.1404309868812561
1590794841.3693593,247,0.20485448837280273
1590794863.5130627,248,0.16953599452972412
1590794885.5748324,249,0.1458846926689148
1590794907.764285,250,0.17360275983810425
1590794940.8652673,251,0.1841006875038147
1590794962.9137423,252,0.19391578435897827
1590795029.6829169,255,0.10000771284103394
1590795096.1568506,258,0.0774196982383728
1590795118.251641,259,0.14327853918075562
1590795140.477477,260,0.2921968102455139
1590795173.6819565,261,0.19721978902816772
1590795218.0340772,263,0.1487177014350891
1590795262.2798672,265,0.19149106740951538
1590795306.706221,267,0.15691959857940674
1590795350.9516835,269,0.08943462371826172
1590795406.195672,271,0.0934951901435852
1590795428.4085314,272,0.10577309131622314
1590795450.720612,273,0.09447216987609863
1590795472.9767847,274,0.09662240743637085
1590795495.168829,275,0.1018785834312439
1590795539.3740182,277,0.08780050277709961
1590795561.4284167,278,0.05315518379211426
1590795605.657897,280,0.07680237293243408
1590795660.831703,282,0.07380509376525879
1590795704.9295897,284,0.16605031490325928
1590795816.0184257,289,0.15135711431503296
1590795871.5515313,291,0.1584165096282959
1590795893.7354062,292,0.13216549158096313
1590795937.884132,294,0.09115582704544067
1590795960.1030066,295,0.1559518575668335
1590795982.2126946,296,0.11156409978866577
1590796004.4825182,297,0.09076565504074097
1590796026.5654638,298,0.11947059631347656
1590796048.6002903,299,0.09360325336456299
1590796070.710748,300,0.07829564809799194
1590796104.0994668,301,0.12073469161987305
1590796126.3100312,302,0.16422492265701294
1590796148.3620327,303,0.1573622226715088
1590796236.9097843,307,0.0946042537689209
1590796259.0612025,308,0.08776456117630005
1590796303.4680912,310,0.22067177295684814
1590796380.7685063,313,0.18259197473526
1590796469.840535,317,0.2657889723777771
1590796492.0130742,318,0.21720021963119507
1590796514.0162783,319,0.16051751375198364
1590796536.1936567,320,0.13311147689819336
1590796591.4330363,322,0.10356199741363525
1590796613.5349429,323,0.11973518133163452
1590796635.7055137,324,0.16017937660217285
1590796657.868731,325,0.11170315742492676
1590796680.0254593,326,0.12643146514892578
1590796702.218177,327,0.08914488554000854
1590796768.9164217,330,0.05395883321762085
1590796802.0284326,331,0.07579672336578369
1590796846.3831344,333,0.05618482828140259
1590796890.870177,335,0.07191741466522217
1590796935.2332368,337,0.05426567792892456
1590796979.432585,339,0.0679207444190979
1590797034.5723338,341,0.06072038412094116
1590797056.8775313,342,0.06245589256286621
1590797079.091988,343,0.0649837851524353
1590797101.2350605,344,0.06761831045150757
1590797123.3962054,345,0.07034188508987427
1590797145.7483046,346,0.07550084590911865
1590797167.900647,347,0.082244873046875
1590797190.0808506,348,0.04925429821014404
1590797212.2559175,349,0.07244092226028442
1590797267.4520705,351,0.05066734552383423
1590797311.9861846,353,0.09540551900863647
1590797334.278644,354,0.05425840616226196
1590797378.599459,356,0.053183138370513916
1590797422.6785884,358,0.03592526912689209
1590797444.8849,359,0.038766682147979736
1590797467.2780616,360,0.05471724271774292
1590797500.3227704,361,0.0630490779876709
1590797522.5303588,362,0.05817520618438721
1590797544.5677254,363,0.05704683065414429
1590797566.6886978,364,0.07025009393692017
1590797588.7966359,365,0.1597532033920288
1590797610.9202933,366,0.12247967720031738
1590797633.1040046,367,0.04364508390426636
1590797655.4341316,368,0.07702672481536865
1590797699.9290452,370,0.047568559646606445
1590797733.0194116,371,0.05714219808578491
1590797777.52339,373,0.06410640478134155
1590797822.086515,375,0.04327678680419922
1590797844.2368662,376,0.0448383092880249
1590797866.4633608,377,0.06438237428665161
1590797888.7036715,378,0.05252432823181152
1590797910.9098043,379,0.0685356855392456
1590797966.1215909,381,0.05344921350479126
1590797988.2546475,382,0.029594779014587402
1590798032.4470894,384,0.013213694095611572
1590798054.4738245,385,0.02693122625350952
1590798076.5780602,386,0.018912553787231445
1590798098.7189302,387,0.018938720226287842
1590798120.8065712,388,0.04732018709182739
1590798165.1658998,390,0.049809932708740234
1590798198.0307503,391,0.037378013134002686
1590798219.9769874,392,0.01760643720626831
1590798242.019867,393,0.07654082775115967
1590798352.9090753,398,0.03625082969665527
1590798375.000985,399,0.02193450927734375
1590798430.3137808,401,0.013496160507202148
1590798452.582066,402,0.021057069301605225
1590798474.6592953,403,0.03153759241104126
1590798518.7414126,405,0.05997574329376221
1590798540.8276403,406,0.0923115611076355
1590798585.206308,408,0.06825035810470581
1590798629.700771,410,0.03363168239593506
1590798751.2115664,415,0.026671409606933594
1590798773.258639,416,0.019661903381347656
1590798839.6238337,419,0.023574352264404297
1590798861.766982,420,0.023209035396575928
1590798894.8045363,421,0.030309200286865234
1590798916.9504507,422,0.024999141693115234
1590798939.133326,423,0.04928863048553467
1590798961.4056265,424,0.020359158515930176
1590799005.7939584,426,0.039863646030426025
1590799050.0956416,428,0.006465435028076172
1590799094.2293272,430,0.027052342891693115
1590799149.207662,432,0.03989988565444946
1590799215.5490282,435,0.02825695276260376
1590799237.6596913,436,0.12765425443649292
1590799304.3485696,439,0.022442996501922607
1590799326.6658072,440,0.06524723768234253
1590799359.7379844,441,0.19472813606262207
1590799381.9430103,442,0.1585291028022766
1590799426.1651454,444,0.07937133312225342
1590799448.1900508,445,0.041659772396087646
1590799515.077889,448,0.03900712728500366
1590799537.3082085,449,0.028486788272857666
1590799592.473702,451,0.05557972192764282
1590799659.0965579,454,0.03733891248703003
1590799681.2298224,455,0.0390048623085022
1590799725.4715621,457,0.03153061866760254
1590799747.5800772,458,0.056550443172454834
1590799769.6523914,459,0.030460476875305176
1590799791.719359,460,0.04659867286682129
1590799824.5728693,461,0.02494889497756958
1590799868.5604377,463,0.020516812801361084
1590799890.696639,464,0.04068034887313843
1590799912.7276595,465,0.02809232473373413
1590799934.9226599,466,0.01911550760269165
1590799957.0804834,467,0.020326733589172363
1590799979.2602997,468,0.017219901084899902
1590800001.5176277,469,0.010853350162506104
1590800056.7261758,471,0.02120506763458252
1590800100.7465394,473,0.05090552568435669
1590800122.672556,474,0.027669072151184082
1590800188.9684389,477,0.022038936614990234
1590800210.9398623,478,0.01879751682281494
1590800310.4458616,482,0.021195590496063232
1590800376.8529956,485,0.0260392427444458
1590800399.0480633,486,0.024696946144104004
1590800443.597863,488,0.017719507217407227
1590800465.586612,489,0.03994208574295044
1590800520.8940268,491,0.029906630516052246
1590800542.921725,492,0.0519099235534668
1590800565.0566885,493,0.023614585399627686
1590800631.4986517,496,0.014934122562408447
1590800653.5570874,497,0.01643979549407959
1590800697.7401786,499,0.01496213674545288
1590800797.1513782,503,0.012141883373260498
1590800863.7562997,506,0.017685234546661377
1590800885.946946,507,0.024268627166748047
1590800908.118521,508,0.041470229625701904
1590800930.3253272,509,0.011877596378326416
1590800952.495331,510,0.02086561918258667
1590800985.5502524,511,0.041852712631225586
1590801007.8430634,512,0.08513301610946655
1590801052.100301,514,0.010351121425628662
1590801074.1505046,515,0.023947298526763916
1590801096.1956513,516,0.03036820888519287
1590801118.2251205,517,0.02356743812561035
1590801140.4613054,518,0.024945378303527832
1590801162.7429724,519,0.017486631870269775
1590801184.8691735,520,0.030780017375946045
1590801283.9719503,524,0.06271916627883911
1590801306.0341198,525,0.019719243049621582
1590801450.322118,531,0.03886854648590088
1590801494.7375734,533,0.01723235845565796
1590801517.0865123,534,0.007945775985717773
1590801539.4391716,535,0.014411866664886475
1590801561.680022,536,0.05486327409744263
1590801583.7417953,537,0.04320263862609863
1590801605.9455457,538,0.013911724090576172
1590801628.1178956,539,0.010836184024810791
1590801650.3893573,540,0.03988015651702881
1590801683.5545866,541,0.006542563438415527
1590801705.787592,542,0.08683639764785767
1590801727.8042927,543,0.27051717042922974
1590801749.9287648,544,0.14738935232162476
1590801772.1491342,545,0.041277527809143066
1590801794.355017,546,0.1689586639404297
1590801816.4747298,547,0.09304183721542358
1590801838.6544406,548,0.032559096813201904
1590801860.8667848,549,0.03239941596984863
1590801916.0677497,551,0.11393094062805176
1590801938.2687554,552,0.08262819051742554
1590801960.544718,553,0.03918278217315674
1590802004.8718226,555,0.052662670612335205
1590802049.4215813,557,0.08630979061126709
1590802093.9156003,559,0.016716957092285156
1590802116.2179759,560,0.02760183811187744
1590802193.7447765,563,0.03598088026046753
1590802216.0049112,564,0.030050933361053467
1590802238.2013395,565,0.02136969566345215
1590802282.7579634,567,0.006967902183532715
1590802305.0381832,568,0.02595818042755127
1590802327.287107,569,0.02019798755645752
1590802382.4351788,571,0.019228756427764893
1590802426.6809342,573,0.027958273887634277
1590802448.9255557,574,0.02548825740814209
1590802493.0124698,576,0.025347352027893066
1590802515.1112812,577,0.02591252326965332
1590802537.3710701,578,0.0098610520362854
1590802559.616492,579,0.022422850131988525
1590802581.6494792,580,0.01666492223739624
1590802614.75634,581,0.01624244451522827
1590802637.0201352,582,0.026756882667541504
1590802659.1102889,583,0.041818320751190186
1590802681.298051,584,0.08298760652542114
1590802725.5623038,586,0.060843706130981445
1590802747.9263172,587,0.054337143898010254
1590802770.2031484,588,0.06569844484329224
1590802847.6138682,591,0.017664849758148193
1590802869.7655468,592,0.051106929779052734
1590802891.9554706,593,0.0186803936958313
1590802936.1621509,595,0.03716444969177246
1590802958.202051,596,0.011587977409362793
1590802980.1931007,597,0.023288249969482422
1590803002.4892402,598,0.03224372863769531
1590803046.8954022,600,0.03151577711105347
1590803102.1686535,602,0.017454445362091064
1590803124.7645059,603,0.026592493057250977
1590803147.606248,604,0.05452430248260498
1590803194.125137,606,0.02068418264389038
1590803240.6305451,608,0.027922630310058594
1590803286.4399872,610,0.014935910701751709
1590803319.6821463,611,0.010610520839691162
1590803341.7829146,612,0.013581931591033936
1590803408.2070074,615,0.009630858898162842
1590803497.2519681,619,0.018624305725097656
1590803519.511883,620,0.04031050205230713
1590803552.6211593,621,0.028138279914855957
1590803574.753097,622,0.018895506858825684
1590803596.757153,623,0.028363704681396484
1590803641.1315567,625,0.006240427494049072
1590803663.2406328,626,0.03329962491989136
1590803729.4951174,629,0.015498042106628418
1590803751.7402835,630,0.011065959930419922
1590803806.801498,632,0.020208299160003662
1590803851.0374932,634,0.0383378267288208
1590803873.2324266,635,0.010056614875793457
1590803939.740801,638,0.018833458423614502
1590803984.1798046,640,0.010245800018310547
1590804017.4576232,641,0.02917182445526123
1590804039.7239194,642,0.035173773765563965
1590804084.071395,644,0.04588508605957031
1590804106.249895,645,0.026963770389556885
1590804128.4315674,646,0.02913987636566162
1590804150.6078298,647,0.020224153995513916
1590804172.9647226,648,0.02168750762939453
1590804195.1174304,649,0.023639917373657227
1590804217.2018545,650,0.013696730136871338
1590804250.3217413,651,0.026958167552947998
1590804272.4665968,652,0.021173477172851562
1590804361.3655627,656,0.003450632095336914
1590804383.4711745,657,0.022072970867156982
1590804427.5992253,659,0.012396514415740967
1590804482.7590702,661,0.019902467727661133
1590804504.9335747,662,0.012881994247436523
1590804527.0200856,663,0.04292529821395874
1590804549.137364,664,0.00757598876953125
1590804571.150344,665,0.019901514053344727
1590804593.2724597,666,0.005888760089874268
1590804615.4549716,667,0.003942608833312988
1590804637.569928,668,0.021467745304107666
1590804659.7623606,669,0.0028006434440612793
1590804715.1658957,671,0.01197350025177002
1590804737.2140107,672,0.020326316356658936
1590804759.2724447,673,0.009316623210906982
1590804781.4020362,674,0.009685516357421875
1590804803.4906268,675,0.023389816284179688
1590804847.7238927,677,0.009194791316986084
1590804869.8514287,678,0.0106126070022583
1590804892.1532059,679,0.006467044353485107
1590804947.675893,681,0.02305382490158081
1590804969.7704566,682,0.009530425071716309
1590804991.9877408,683,0.0222817063331604
1590805014.086525,684,0.018520891666412354
1590805036.1427252,685,0.03820908069610596
1590805058.2604072,686,0.012758493423461914
1590805080.3913686,687,0.032882094383239746
