Wall time,Step,Value
1590789106.292458,0,0.6894795894622803
1590789338.667133,10,0.41715991497039795
1590789570.593593,20,0.3948373794555664
1590790035.898449,40,0.36904484033584595
1590790268.302489,50,0.30415958166122437
1590790733.442232,70,0.25870460271835327
1590792128.730786,130,0.17540785670280457
1590793757.4720216,200,0.1477610468864441
1590793989.5651062,210,0.1418280303478241
1590795384.1991477,270,0.0759732723236084
1590795616.4301374,280,0.05771532654762268
1590797943.8773117,380,0.029927849769592285
1590798176.002704,390,0.019963622093200684
1590800498.6025028,490,0.010272622108459473
1590804460.5913637,660,0.005905777215957642
1590807948.4404263,810,0.0037305355072021484
1590809576.1610057,880,0.003618687391281128
1590810041.3014548,900,0.003422290086746216
1590816552.4445045,1180,0.003167450428009033
1590818411.6271982,1260,0.0021059811115264893
1590820270.5795546,1340,0.0017139613628387451
1590823292.5577068,1470,0.0015215277671813965
