Wall time,Step,Value
1590603311.9224927,0,0.7250000238418579
1590603714.6847456,10,0.44999998807907104
1590607064.4618983,100,0.4050000011920929
1590610361.5929644,190,0.3499999940395355
1590611205.6240401,210,0.29499998688697815
1590611567.347418,220,0.28999999165534973
1590612394.5268476,240,0.2849999964237213
1590612874.402366,250,0.25
1590613238.334779,260,0.23999999463558197
1590613789.3372698,280,0.23499999940395355
1590614064.8759296,290,0.22499999403953552
1590614614.725495,310,0.16500000655651093
1590617360.190182,410,0.15000000596046448
1590623174.5579479,620,0.12999999523162842
1590626230.9630432,730,0.10499999672174454
1590628028.255386,790,0.08500000089406967
1590629227.156857,830,0.07999999821186066
1590629589.2172065,840,0.054999999701976776
1590630786.0524876,880,0.04500000178813934
1590631384.6445072,900,0.03500000014901161
1590631684.394629,910,0.009999999776482582
1590635281.878524,1030,0.004999999888241291
1590638207.4712138,1130,0.0
