Wall time,Step,Value
1590603301.0788283,0,0.6449999809265137
1590603585.0874164,10,0.5249999761581421
1590604434.3606808,40,0.4650000035762787
1590604717.772741,50,0.44999998807907104
1590605001.0646222,60,0.3499999940395355
1590605567.8844302,80,0.2800000011920929
1590609818.1620421,230,0.25
1590612934.984753,340,0.20999999344348907
1590613218.1077986,350,0.1850000023841858
1590613501.2617764,360,0.14000000059604645
1590614921.8973181,410,0.11999999731779099
1590616341.8288417,460,0.10499999672174454
1590622746.6921258,680,0.10000000149011612
1590623029.8258204,690,0.07000000029802322
1590624164.7700198,730,0.04500000178813934
1590625018.0370843,760,0.03500000014901161
1590626321.7479913,800,0.019999999552965164
1590630724.3593943,900,0.009999999776482582
1590635862.806016,1020,0.004999999888241291
1590640064.0418823,1150,0.0
