Wall time,Step,Value
1590752879.3273146,0,0.5799999833106995
1590753174.420396,10,0.5
1590753453.389613,20,0.47999998927116394
1590754549.7902887,60,0.45500001311302185
1590754823.0765371,70,0.4350000023841858
1590757849.3398542,180,0.39500001072883606
1590758122.4824052,190,0.3149999976158142
1590762228.6200757,340,0.20499999821186066
1590762501.3724844,350,0.19499999284744263
1590763322.7762513,380,0.1599999964237213
1590773186.8940625,740,0.14499999582767487
1590784455.8576574,1150,0.10499999672174454
