Wall time,Step,Value
1590658632.1676133,0,0.5139123797416687
1590658860.4277422,10,0.4254506826400757
1590659088.8633096,20,0.4213993549346924
1590661145.2489126,110,0.3720586895942688
1590661373.5980663,120,0.33885329961776733
1590661830.6755335,140,0.2833601236343384
1590666947.0786302,350,0.24637848138809204
1590667405.3284278,370,0.2409815490245819
1590667633.5510323,380,0.2336694896221161
1590669234.3462896,450,0.22094139456748962
1590669462.8987374,460,0.2009880542755127
1590669691.3072658,470,0.17151319980621338
1590669919.7958398,480,0.09394946694374084
1590671063.5295103,530,0.08902889490127563
1590678523.0623648,840,0.06023484468460083
