Wall time,Step,Value
1590658633.1943572,0,0.675000011920929
1590658865.4862213,10,0.5450000166893005
1590659131.2284505,20,0.5149999856948853
1590659392.7860596,30,0.41999998688697815
1590661712.7446942,130,0.38999998569488525
1590664270.8329754,240,0.3149999976158142
1590664513.3664098,250,0.29499998688697815
1590665028.2105696,270,0.2849999964237213
1590665512.2864015,290,0.27000001072883606
1590665745.8679926,300,0.1899999976158142
1590669645.5154018,460,0.18000000715255737
1590671941.8294437,550,0.1550000011920929
1590672182.335683,560,0.15000000596046448
1590673426.3240697,610,0.13500000536441803
1590674153.5036855,640,0.11999999731779099
1590674410.351472,650,0.0949999988079071
1590676605.3345659,740,0.08500000089406967
1590677320.2568855,770,0.05000000074505806
