Wall time,Step,Value
1590658633.1944783,0,0.6549359560012817
1590658865.486263,10,0.42276811599731445
1590659392.7861118,30,0.4085654616355896
1590660321.354246,70,0.36511969566345215
1590660553.6665983,80,0.3568999171257019
1590661712.7447536,130,0.35360127687454224
1590664270.8330326,240,0.26363420486450195
1590664513.366463,250,0.24716880917549133
1590665028.2106235,270,0.2387428879737854
1590665745.8680367,300,0.19147568941116333
1590666745.7437062,340,0.1871456503868103
1590667951.3460746,390,0.17611733078956604
1590669645.5154543,460,0.15372395515441895
1590671941.8295026,550,0.13630899786949158
1590673426.3241277,610,0.12146714329719543
1590674153.5037389,640,0.1190270483493805
1590674410.3515246,650,0.08778369426727295
1590677320.2569284,770,0.05739143490791321
