Wall time,Step,Value
1590658653.1669557,0,0.5580268502235413
1590658925.4953647,10,0.4243748188018799
1590659197.9371376,20,0.4208707809448242
1590660028.199052,50,0.41351795196533203
1590661185.8767135,90,0.3881262540817261
1590662590.5508065,140,0.25756534934043884
1590662864.354106,150,0.1436769664287567
1590663137.9749894,160,0.13512274622917175
1590666156.8508708,270,0.11688625812530518
1590666707.3761737,290,0.10905265808105469
1590667254.9686432,310,0.10405096411705017
1590669756.5263307,400,0.09198048710823059
1590678790.6433027,700,0.0903191864490509
1590679726.719258,730,0.06751394271850586
